Temperature,Pressure
614.6465,3.373737
695.4545,4.020202
673.2323,7.010101
673.2323,6.606061
665.1515,7.89899
701.5152,3.858586
552.0202,4.666667
618.6869,2.565657
683.3333,5.555556
626.7677,2.727273
689.3939,3.69697
695.4545,3.858586
671.2121,7.252525
713.6364,4.181818
691.4141,4.505051
679.2929,6.20202
568.1818,5.636364
683.3333,5.636364
671.2121,7.252525
743.9394,4.909091
677.2727,5.636364
733.8384,4.666667
699.4949,3.939394
679.2929,6.20202
622.7273,2.40404
691.4141,3.212121
677.2727,6.444444
727.7778,4.585859
679.2929,6.20202
673.2323,6.606061
620.7071,2.323232
689.3939,3.777778
717.6768,4.262626
667.1717,7.656566
693.4343,4.262626
715.6566,4.262626
673.2323,7.010101
685.3535,5.232323
671.2121,7.252525
679.2929,6.20202
677.2727,6.040404
685.3535,5.232323
685.3535,3.373737
671.2121,7.252525
691.4141,2.969697
679.2929,6.20202
689.3939,3.69697
675.2525,6.606061
671.2121,7.252525
685.3535,5.313131
673.2323,7.010101
