Temperature,Pressure,x_gr_[Grt],x_spss_[Grt],tot x_prp,Mg#_[Grt],Si_pfu_[Bt],Al_pfu_[Bt],xTi_[Bt],Mg#_[Bt],Si_pfu_[mu],x_cel_[mu],x_pa_[mu],x_ab_[Pl]
630.3030303,6292.929293,0.024224461,0.163465476,0.138157056,0.168401352,2.65430904,1.599990621,0.131900848,0.437689746,3.054650051,0.030766201,0.079500171,0.831398993
633.3333333,6292.929293,0.023988118,0.164757985,0.138362161,0.16885239,2.652533681,1.603093827,0.133614245,0.436316088,3.055004588,0.030821315,0.077412945,0.829222567
636.3636364,6292.929293,0.023885677,0.16750841,0.13807835,0.169028701,2.651114877,1.605246538,0.135437735,0.434392884,3.055521521,0.03093445,0.075017605,0.826581947
639.3939394,6292.929293,0.023840563,0.170679996,0.137677707,0.169158382,2.64979483,1.607125715,0.137298141,0.432360837,3.056066705,0.031058091,0.072607635,0.8235607
642.4242424,6292.929293,0.023825078,0.173814277,0.137271069,0.16927955,2.648479581,1.608969062,0.139163706,0.430376074,3.056595899,0.031173413,0.070272207,0.820152908
645.4545455,6292.929293,0.025427165,0.171257837,0.139861466,0.172225571,2.648986147,1.608182626,0.140845253,0.435279541,0,0,0,0.809903241
648.4848485,6292.929293,0.025076248,0.167504874,0.143025912,0.175261213,2.651303195,1.605935038,0.142676636,0.439732265,0,0,0,0.808674167
651.5151515,6292.929293,0.024740764,0.162396909,0.145707785,0.177357981,2.652725625,1.604136775,0.14407229,0.442035038,0,0,0,0.807570899
654.5454545,6292.929293,0.024415647,0.155962021,0.147939413,0.17857392,2.653367496,1.60277274,0.145071318,0.442362053,0,0,0,0.806591948
657.5757576,6292.929293,0.024091137,0.14952166,0.150194758,0.179795224,2.653983537,1.60144563,0.146073027,0.442741374,0,0,0,0.805599149
660.6060606,6292.929293,0.023783168,0.143171362,0.152487559,0.18106293,2.654597965,1.600116025,0.147072766,0.44317441,0,0,0,0.804593884
663.6363636,6292.929293,0.023480843,0.136826458,0.154818438,0.182358248,2.655211698,1.598784171,0.14807516,0.443674142,0,0,0,0.803574473
666.6666667,6292.929293,0.023179822,0.130529561,0.157186325,0.183684887,2.655774662,1.597541251,0.14907501,0.444242007,0,0,0,0.802540642
669.6969697,6292.929293,0.022890228,0.124257335,0.159585297,0.185033276,2.656347977,1.596265986,0.15009362,0.444895508,0,0,0,0.801492611
672.7272727,6292.929293,0.02260499,0.118072888,0.162040486,0.186446532,2.656872472,1.595081877,0.151096388,0.445634317,0,0,0,0.800428911
675.7575758,6292.929293,0.022330778,0.112023184,0.16455717,0.18793682,2.657399962,1.593883286,0.152109872,0.446468838,0,0,0,0.799348451
678.7878788,6292.929293,0.022059242,0.10602226,0.167115932,0.18946398,2.657900627,1.592719945,0.153128467,0.447420294,0,0,0,0.798251111
681.8181818,6292.929293,0.021797998,0.100107822,0.169737277,0.191060694,2.658384573,1.591576093,0.154159481,0.448502555,0,0,0,0.797135564
684.8484848,6292.929293,0.021541301,0.094331988,0.17241499,0.192723462,2.658841461,1.590478134,0.15520552,0.449719297,0,0,0,0.795999841
687.8787879,6292.929293,0.021295218,0.088728602,0.175192909,0.19452016,2.659279789,1.589391616,0.156245061,0.451092506,0,0,0,0.794845475
