,x_gr_[Grt],x_spss_[Grt],tot x_prp,Mg#_[Grt],Si_pfu_[Bt],Al_pfu_[Bt],xTi_[Bt],Mg#_[Bt],Si_pfu_[mu],x_cel_[mu],x_pa_[mu],x_ab_[Pl]
MEAN,0.059183673,0.018707483,0.163605442,0.177425304,2.713,1.715,0.102,0.489915231,3.068,0.079333333,0.230130266,0.887532228
STD,0.006625,0.0039319,0.011036,0.0109095,0.015508063,0.024083189,0.004527693,0.003432841,0.023392307,0.011021192,0.014778526,0.036012763
