,Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],x_ab_[Pl],x_tts_[Amp],Na_M4_[Amp],Ed_[Amp],Ts_[Amp],Al_pfu_[Cpx],Mg#_[Cpx],Ca_[Cpx],xjd_tot_[Cpx]
MEAN,2.791714286,0.175571429,0.501146861,0.656997278,0.127571429,0.041428571,0.597428571,0.982714286,0.206444444,0.612465619,0.506222222,0.034888889
STD,0.009050125,0.011773659,0.012690517,0.026265078,0.003644957,0.008443087,0.028259849,0.040549206,0.089769303,0.028241639,0.018932629,0.018462424
