Temperature,Pressure,Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],x_ab_[Pl],x_tts_[Amp],Na_M4_[Amp],Ed_[Amp],Ts_[Amp],Al_pfu_[Cpx],Mg#_[Cpx],Ca_[Cpx],xjd_tot_[Cpx]
689.3939394,3050.505051,2.900162635,0.154500392,0.570130864,0.493361109,0.041159475,0.031285127,0.443691381,0.97880783,0.015299444,0.614746636,0.899338663,0.015299444
691.4141414,3050.505051,2.899489579,0.155777949,0.574418665,0.488816433,0.041393119,0.030924964,0.444441946,0.9800326,0.015229138,0.618234789,0.899659495,0.015229138
693.4343434,3050.505051,2.89882371,0.15706254,0.5786971,0.484422763,0.041628112,0.03057632,0.445182691,0.981219582,0.015159218,0.621696349,0.899965945,0.015159218
695.4545455,3050.505051,2.898163519,0.158353311,0.582953763,0.480176269,0.041864392,0.030239577,0.445910782,0.982357771,0.015089728,0.625131,0.900257721,0.015089728
697.4747475,3050.505051,2.897508403,0.159649997,0.58718519,0.476073277,0.04210359,0.029908625,0.446631317,0.983495209,0.0150206,0.628536917,0.900536211,0.0150206
699.4949495,3050.505051,2.897303136,0.160735951,0.58971187,0.473781589,0.04234209,0.02969501,0.446893944,0.982483253,0.015002288,0.630470623,0.90079643,0.015002288
701.5151515,3050.505051,2.897618972,0.161548418,0.590021307,0.47375714,0.042592823,0.029562924,0.44656173,0.979095935,0.015041672,0.630666168,0.901074897,0.015041672
703.5353535,3050.505051,2.897979865,0.16235663,0.590318015,0.473698658,0.042839688,0.029455734,0.446261209,0.975650681,0.01508536,0.63083541,0.90131215,0.01508536
705.5555556,3050.505051,2.898313103,0.163170664,0.590613832,0.473656355,0.043091384,0.029337589,0.445967642,0.97231102,0.015126108,0.631034136,0.90156577,0.015126108
707.5757576,3050.505051,2.898656211,0.163989494,0.590945069,0.473605051,0.0433435,0.029234348,0.445657283,0.968828579,0.015168702,0.631174221,0.901817268,0.015168702
709.5959596,3050.505051,2.899991316,0.164820108,0.588123587,0.458215114,0.043582885,0.027871752,0.439760833,0.957257767,0.015184355,0.630950378,0.905400644,0.015184355
