,x_gr_[Grt],x_spss_[Grt],tot x_prp,Mg#_[Grt],Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],Si_pfu_[mu],x_cel_[mu],x_pa_[mu],x_ab_[Pl]
MEAN,0.059183673,0.018707483,0.163605442,0.177425304,2.7135,0.104333333,0.489752208,3.068,0.079333333,0.230130266,0.887532228
STD,0.006625,0.0039319,0.011036,0.0109095,0.013924798,0.00700476,0.003096284,0.023392307,0.011021192,0.014778526,0.036012763
